id,first_name,last_name,email_address,created_at,deleted_at,merged_at,parent_user_id
8,Hanah,Schmidt,Hanah_Schmidt1965@gmail.edu,1361218223000,-1,-1,-1
31,Emily,Tamm,EmilyTamm@gmail.edu,1361367320000,-1,-1,-1
13,Grace,Taylor,GraceTaylor1951@inbox.edu,1361459822000,-1,1463850102000,118437
27,Sarah,Murphy,Sarah_Murphy@outlook.org,1361533474000,-1,-1,-1
10,Sonya,Chen,SonyaChen@outlook.biz,1361620286000,-1,1487304060000,167616
69,Mosi,Petrov,Mosi_Petrov1985@earthlink.info,1361748378000,1375731962000,-1,-1
35,R,Gupta,RGupta@earthlink.net,1361856333000,-1,-1,-1
45,Irene,Fourie,IreneFourie@gmail.edu,1361913408000,-1,1426143927000,46419
9,Aanya,Lee,AanyaLee@gmail.info,1362000497000,-1,-1,-1
21,Lucas,Murphy,Lucas_Murphy1957@gmail.org,1362135198000,-1,-1,-1
87,J,Rossi,JRossi1960@inbox.com,1362156351000,-1,-1,-1
106,A,Chen,AChen1958@gmail.edu,1362168568000,-1,-1,-1
54,Claire,Gonzalez,ClaireGonzalez1959@outlook.info,1362180134000,-1,-1,-1
62,Janelle,Dubois,JanelleDubois@gmail.biz,1362248612000,-1,-1,-1
17,Youseff,Powell,YouseffPowell@yahoo.com,1362271362000,-1,-1,-1
94,Aya,Kowalski,AyaKowalski@earthlink.com,1362274791000,-1,-1,-1
51,Nalah,Freeman,Nalah_Freeman@earthlink.net,1362301137000,-1,-1,-1
4,L,Murphy,LMurphy1964@earthlink.com,1362348409000,-1,-1,-1
55,Zeke,Khan,ZekeKhan2001@gmail.info,1362446629000,-1,-1,-1
153,Omar,Fourie,Omar_Fourie1992@yahoo.com,1362504631000,-1,-1,-1
124,Data,Sokolov,DataSokolov1995@gmail.edu,1362524815000,-1,-1,-1
25,Logan,Petrov,LoganPetrov@earthlink.org,1362578466000,-1,-1,-1
41,Mohamed,Gupta,Mohamed_Gupta1970@inbox.info,1362604635000,-1,-1,-1
52,Hosna,Costa,Hosna_Costa@inbox.net,1362632584000,-1,-1,-1
34,Lisa,Petrov,Lisa_Petrov@gmail.org,1362672692000,-1,-1,-1
65,Ruth,Miller,Ruth_Miller@earthlink.edu,1362700517000,-1,-1,-1
30,K,Powell,K_Powell1990@earthlink.com,1362720162000,-1,-1,-1
12,Data,Mueller,Data_Mueller2004@gmail.org,1362722023000,-1,-1,-1
119,Peter,Horvat,PeterHorvat@mail.org,1362730470000,-1,-1,-1
